label_variant,panel_id,system_id,stratum,episode_count,binary_scorable,call_rate_given_eligible,conditional_correctness,correct,episode_denominators_called,episode_denominators_eligible,episode_denominators_produced,episode_proportions_exact_95_called_over_registered_high,episode_proportions_exact_95_called_over_registered_low,episode_proportions_exact_95_eligible_over_registered_high,episode_proportions_exact_95_eligible_over_registered_low,episode_proportions_exact_95_produced_over_registered_high,episode_proportions_exact_95_produced_over_registered_low,episode_proportions_exact_95_scorable_over_registered_high,episode_proportions_exact_95_scorable_over_registered_low,incorrect,intervals_exact_95_call_rate_given_eligible_high,intervals_exact_95_call_rate_given_eligible_low,intervals_exact_95_conditional_correctness_high,intervals_exact_95_conditional_correctness_low,intervals_exact_95_operational_support_rate_high,intervals_exact_95_operational_support_rate_low,intervals_exact_95_opportunity_rate_high,intervals_exact_95_opportunity_rate_low,intervals_exact_95_production_rate_given_called_high,intervals_exact_95_production_rate_given_called_low,intervals_exact_95_scorable_rate_given_produced_high,intervals_exact_95_scorable_rate_given_produced_low,invocation_called,invocation_not_called,invocation_not_observable,observations,operational_support_rate,opportunity_eligible,opportunity_rate,opportunity_unknown,outcome_failed,outcome_no_vote,outcome_not_observable,outcome_produced,outcome_timeout,produced,production_rate_given_called,registered_episodes,scorable_rate_given_produced,source_id
deterministic,mathrouter-standard,mathrouter,standard,25,14,1.0,1.0,14,25,25,19,1.0,0.8628148284692875,1.0,0.8628148284692875,0.9064355606682571,0.5487119821833135,0.7559763348527919,0.34928163399133577,0,1.0,0.8628148284692875,1.0,0.7683642383498834,0.7559763348527919,0.34928163399133577,1.0,0.8628148284692875,0.9064355606682571,0.5487119821833135,0.9085342150923335,0.48797065465412726,25,,,25,0.56,25,1.0,,6,,,19,,19,0.76,25,0.7368421052631579,deep_reasoner
deterministic,mathrouter-standard,mathrouter,standard,25,16,1.0,1.0,16,25,25,25,1.0,0.8628148284692875,1.0,0.8628148284692875,1.0,0.8628148284692875,0.8202831794163445,0.42520634955384945,0,1.0,0.8628148284692875,1.0,0.7940927857921772,0.8202831794163445,0.42520634955384945,1.0,0.8628148284692875,1.0,0.8628148284692875,0.8202831794163445,0.42520634955384945,25,,,25,0.64,25,1.0,,,,,25,,25,1.0,25,0.64,finalizer
deterministic,mathrouter-standard,mathrouter,standard,25,15,1.0,0.8666666666666667,13,25,25,25,1.0,0.8628148284692875,1.0,0.8628148284692875,1.0,0.8628148284692875,0.788745193534858,0.38665349625683987,2,1.0,0.8628148284692875,0.9834240865599164,0.5953973033966279,0.7220319903300534,0.3130570444570323,1.0,0.8628148284692875,1.0,0.8628148284692875,0.788745193534858,0.38665349625683987,50,,,50,0.52,50,1.0,,,,,50,,50,1.0,25,0.6,hermes_reasoner
deterministic,mathrouter-standard,mathrouter,standard,25,0,1.0,,0,7,7,6,0.49387682180625553,0.12071668850406657,0.49387682180625553,0.12071668850406657,0.4512880178166864,0.09356443933174285,0.1371851715307125,0.0,0,1.0,0.5903836027749966,,,0.1371851715307125,0.0,0.49387682180625553,0.12071668850406657,0.9963897031380994,0.4212768029568048,0.45925812643990044,0.0,7,,18,25,0.0,7,0.28,18,1,,18,6,,6,0.8571428571428571,25,0.0,python_executor
deterministic,mathrouter-standard,mathrouter,standard,25,0,,,0,0,0,0,0.1371851715307125,0.0,0.1371851715307125,0.0,0.1371851715307125,0.0,0.1371851715307125,0.0,0,,,,,0.1371851715307125,0.0,0.1371851715307125,0.0,,,,,,,25,25,0.0,,0.0,25,,,25,,,0,,25,,recovery
deterministic,mathrouter-hard,mathrouter,hard_gt_5,25,0,1.0,,0,18,18,0,0.8792833114959334,0.5061231781937445,0.8792833114959334,0.5061231781937445,0.1371851715307125,0.0,0.1371851715307125,0.0,0,1.0,0.8146980318621477,,,0.1371851715307125,0.0,0.8792833114959334,0.5061231781937445,0.1853019681378522,0.0,,,18,,7,25,0.0,18,0.72,7,18,,7,,,0,0.0,25,,deep_reasoner
deterministic,mathrouter-hard,mathrouter,hard_gt_5,25,4,1.0,1.0,4,25,25,25,1.0,0.8628148284692875,1.0,0.8628148284692875,1.0,0.8628148284692875,0.3608284544592721,0.04537945237170958,0,1.0,0.8628148284692875,1.0,0.3976353643835253,0.3608284544592721,0.04537945237170958,1.0,0.8628148284692875,1.0,0.8628148284692875,0.3608284544592721,0.04537945237170958,25,,,25,0.16,25,1.0,,,,,25,,25,1.0,25,0.16,finalizer
deterministic,mathrouter-hard,mathrouter,hard_gt_5,25,3,1.0,1.0,3,25,25,11,1.0,0.8628148284692875,1.0,0.8628148284692875,0.6507183660086642,0.24402366514720805,0.31219030728623537,0.025465396647733195,0,1.0,0.8628148284692875,1.0,0.2924017738212866,0.31219030728623537,0.025465396647733195,1.0,0.8628148284692875,0.6507183660086642,0.24402366514720805,0.6097425595724212,0.06021773417290665,36,,,36,0.12,36,1.0,,,17,,19,,19,0.44,25,0.2727272727272727,hermes_reasoner
deterministic,mathrouter-hard,mathrouter,hard_gt_5,25,0,1.0,,0,11,11,11,0.6507183660086642,0.24402366514720805,0.6507183660086642,0.24402366514720805,0.6507183660086642,0.24402366514720805,0.1371851715307125,0.0,0,1.0,0.7150858470818455,,,0.1371851715307125,0.0,0.6507183660086642,0.24402366514720805,1.0,0.7150858470818455,0.28491415291815436,0.0,11,,14,25,0.0,11,0.44,14,,,14,11,,11,1.0,25,0.0,python_executor
deterministic,mathrouter-hard,mathrouter,hard_gt_5,25,1,1.0,1.0,1,3,3,3,0.31219030728623537,0.025465396647733195,0.31219030728623537,0.025465396647733195,0.31219030728623537,0.025465396647733195,0.203516913922414,0.0010121996993108446,0,1.0,0.2924017738212866,1.0,0.025,0.203516913922414,0.0010121996993108446,0.31219030728623537,0.025465396647733195,1.0,0.2924017738212866,0.9057006759497539,0.008403758659612636,3,,22,25,0.04,3,0.12,22,,,22,3,,3,1.0,25,0.3333333333333333,recovery
